Start Time,Chip ID,PassFill,Defect Code,Model Name,Tact Time,Grade
2021_0808_21:31:22,T917G046AV07,OK,,2V500DJ7QZ00S,30.8,A
2021_0808_21:33:10,T917G046AV03,OK,,2V500DJ7QZ00S,30.5,A
2021_0808_21:34:58,T917G089BC05,OK,,2V500DJ7QZ00S,30.0,A
2021_0808_21:36:45,T917G099BA02,OK,,2V500DJ7QZ00S,29.9,A
2021_0808_21:38:33,T917G089BC07,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_22:01:42,T917E028BD01,OK,,2V500DJ7QZ00S,30.5,A
2021_0808_22:03:31,T917G017AR03,OK,,2V500DJ7QZ00S,30.3,A
2021_0808_22:05:17,T9175075BA05,OK,,2V500DJ7QZ00S,31.2,A
2021_0808_22:17:23,T917K098BD05,OK,,2V500DJ7QZ00S,29.3,A
2021_0808_22:19:09,T917G148BA06,OK,,2V500DJ7QZ00S,30.2,A
2021_0808_22:20:56,T917G107AC08,OK,,2V500DJ7QZ00S,31.3,A
2021_0808_22:22:44,T917G033AU06,OK,,2V500DJ7QZ00S,30.3,A
2021_0808_22:24:31,T917G023AR02,OK,,2V500DJ7QZ00S,30.4,A
2021_0808_22:26:18,T9175104AC03,OK,,2V500DJ7QZ00S,29.8,A
2021_0808_22:28:03,T917G030BC01,OK,,2V500DJ7QZ00S,30.9,A
2021_0808_22:29:51,T917E043AN08,OK,,2V500DJ7QZ00S,30.1,A
2021_0808_22:31:39,T917F156AN01,OK,,2V500DJ7QZ00S,30.4,A
2021_0808_22:35:05,T917G039BA02,OK,,2V500DJ7QZ00S,31.6,A
2021_0808_22:36:55,T917G045AV01,OK,,2V500DJ7QZ00S,29.7,A
2021_0808_22:49:37,T917G119AD04,OK,,2V500DJ7QZ00S,30.8,A
2021_0808_22:51:26,T917G120AQ02,OK,,2V500DJ7QZ00S,30.1,A
2021_0808_23:00:57,T917G117AL05,OK,,2V500DJ7QZ00S,30.0,A
2021_0808_23:02:43,T917G119AD07,OK,,2V500DJ7QZ00S,31.1,A
2021_0808_23:05:48,T917G049AV04,OK,,2V500DJ7QZ00S,30.0,A
2021_0808_23:08:10,T917G072AF02,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_23:09:57,T917G038AC01,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_23:11:44,T917G076AT02,OK,,2V500DJ7QZ00S,30.3,A
2021_0808_23:16:33,T917G108BA04,OK,,2V500DJ7QZ00S,30.3,A
